date,count,uniques
2026-06-25,0,0
2026-06-26,0,0
2026-06-27,0,0
2026-06-28,0,0
2026-06-29,14,1
2026-06-30,0,0
2026-07-01,4,3
2026-07-02,3,3
2026-07-03,1,1
2026-07-04,22,1
2026-07-05,2,2
2026-07-06,0,0
2026-07-07,0,0
2026-07-08,0,0
2026-07-09,69,3
2026-07-10,27,1
2026-07-11,98,2
2026-07-12,4,1
2026-07-13,0,0
