URL,Version,Status,OIDs,Name,Title,Description,Used
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/onc-goal-target-measure-vs,ValueSet/onc-4at-attention-vs,ValueSet/goal-evaluation-valueset,ValueSet/onc-4at-amt4-vs,ValueSet/onc-prognosis-vs,ValueSet/onc-4at-acute-change-vs,ValueSet/onc-news2-score-vs,ValueSet/onc-4at-alertness-vs,ValueSet/onc-relational-outcomes-vs,ValueSet/nursing-problem-valueset,ValueSet/consistency-type,ValueSet/nursing-intervention-valueset,ValueSet/acvpu-vs,ValueSet/onc-pain-score-vs,ValueSet/housing-status-vs,ValueSet/inspired-oxygen-vs"
https://opennursingcoreig.com/CodeSystem/onc-monk-scale,1.0.0,active,,ONCMonkScale,Monk Skin Tone Scale CodeSystem,"The ten-point (A-J) Monk Skin Tone Scale, the IG's primary vocabulary for equitable skin-tone assessment.","ValueSet/onc-skin-tone-vs,ValueSet/onc-monk-scale-vs"
https://opennursingcoreig.com/CodeSystem/onc-observation-codes,1.0.0,active,,ONCObservationCodes,ONC Observation Codes,"Custom observation codes for Open Nursing Core","ValueSet/onc-empathy-index-vs,ValueSet/onc-adpie-vs,ValueSet/wound-stage-vs,ValueSet/news2-code-vs,ValueSet/onc-mca-vs,ValueSet/onc-cfs-vs,ValueSet/onc-4at-alertness-vs,ValueSet/onc-skin-tone-vs,ValueSet/nursing-problem-valueset,ConceptMap/onc-to-nanda,ValueSet/onc-pbs-function-vs,ValueSet/news2-subscore-code-vs,ValueSet/onc-pain-score-vs,ValueSet/onc-relational-findings-vs"
https://opennursingcoreig.com/CodeSystem/onc-problem-type,1.0.0,active,,ONCProblemType,Problem Type CodeSystem,"Code system for categorizing types of nursing problems","ValueSet/problem-category-valueset"
