"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ONCRelationalCareModel","ONCRelationalCareModel","","","",0,*,"","","","null {[]} {[]}
","Relational Care Logical Model","A vendor-neutral clinical model of the relational nursing assessment. Defines WHAT data must be captured, regardless of HOW it is stored in FHIR.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ONCRelationalCareModel.patientPreferences","ONCRelationalCareModel.patientPreferences","","","",1,1,"","","","string {[]} {[]}
","The patient's personal goals and what matters most to them today.","The patient's personal goals and what matters most to them today.","","","","","","","","","",,,,,"",,,,"ONCRelationalCareModel.patientPreferences",1,1,"",""
"ONCRelationalCareModel.relationalEngagement","ONCRelationalCareModel.relationalEngagement","","","",1,1,"","","","integer {[]} {[]}
","A score from 1-5 representing the depth of the therapeutic relationship.","A score from 1-5 representing the depth of the therapeutic relationship.","","","","","","","","","",,,,,"",,,,"ONCRelationalCareModel.relationalEngagement",1,1,"",""
"ONCRelationalCareModel.empathyIndex","ONCRelationalCareModel.empathyIndex","","","",1,1,"","","","code {[]} {[]}
","The ONC Empathy Index (1-5) measuring relational quality.","The ONC Empathy Index (1-5) measuring relational quality.","","","","","","","","","",,"required","","https://opennursingcoreig.com/ValueSet/onc-empathy-index-vs","",,,,"ONCRelationalCareModel.empathyIndex",1,1,"",""
"ONCRelationalCareModel.skinToneEquity","ONCRelationalCareModel.skinToneEquity","","","",1,1,"","","","code {[]} {[]}
","The patient's skin tone classification (Monk primary, Fitzpatrick secondary/legacy) used to guide clinical assessment.","The patient's skin tone classification (Monk primary, Fitzpatrick secondary/legacy) used to guide clinical assessment.","","","","","","","","","",,"extensible","","https://opennursingcoreig.com/ValueSet/onc-skin-tone-vs","",,,,"ONCRelationalCareModel.skinToneEquity",1,1,"",""
"ONCRelationalCareModel.mandatoryEquityValidation","ONCRelationalCareModel.mandatoryEquityValidation","","","",1,1,"","","","boolean {[]} {[]}
","Technical flag ensuring the 'Fairness Gate' was passed.","Technical flag ensuring the 'Fairness Gate' was passed.","","","","","","","","","",,,,,"",,,,"ONCRelationalCareModel.mandatoryEquityValidation",1,1,"",""
"ONCRelationalCareModel.adpieStatus","ONCRelationalCareModel.adpieStatus","","","",1,1,"","","","code {[]} {[]}
","The current stage of the professional nursing process (Assessment, Diagnosis, Planning, Implementation, Evaluation).","The current stage of the professional nursing process (Assessment, Diagnosis, Planning, Implementation, Evaluation).","","","","","","","","","",,"required","","https://opennursingcoreig.com/ValueSet/onc-adpie-vs","",,,,"ONCRelationalCareModel.adpieStatus",1,1,"",""
"ONCRelationalCareModel.clinicalNarrative","ONCRelationalCareModel.clinicalNarrative","","","",1,1,"","","","string {[]} {[]}
","The person-centred narrative describing the patient's experience.","The person-centred narrative describing the patient's experience.","","","","","","","","","",,,,,"",,,,"ONCRelationalCareModel.clinicalNarrative",1,1,"",""
